      Date,    Flow_cfs
10/1/2010,1.3
10/2/2010,1.3
10/3/2010,1.3
10/4/2010,1.3
10/5/2010,1.4
10/6/2010,1.4
10/7/2010,1.4
10/8/2010,1.5
10/9/2010,1.4
10/10/2010,1.4
10/11/2010,1.4
10/12/2010,1.4
10/13/2010,1.4
10/14/2010,1.4
10/15/2010,1.4
10/16/2010,1.4
10/17/2010,1.4
10/18/2010,1.4
10/19/2010,1.5
10/20/2010,1.5
10/21/2010,1.4
10/22/2010,1.4
10/23/2010,1.6
10/24/2010,1.8
10/25/2010,1.9
10/26/2010,1.7
10/27/2010,1.7
10/28/2010,1.7
10/29/2010,1.7
10/30/2010,1.9
10/31/2010,1.9
11/1/2010,1.8
11/2/2010,1.7
11/3/2010,1.7
11/4/2010,1.6
11/5/2010,1.6
11/6/2010,1.6
11/7/2010,1.6
11/8/2010,2.2
11/9/2010,1.9
11/10/2010,1.8
11/11/2010,1.8
11/12/2010,1.8
11/13/2010,1.7
11/14/2010,1.7
11/15/2010,1.8
11/16/2010,1.8
11/17/2010,1.7
11/18/2010,1.7
11/19/2010,1.6
11/20/2010,1.6
11/21/2010,1.7
11/22/2010,1.6
11/23/2010,1.6
11/24/2010,1.6
11/25/2010,1.6
11/26/2010,1.6
11/27/2010,1.5
11/28/2010,1.7
11/29/2010,1.7
11/30/2010,1.7
12/1/2010,1.7
12/2/2010,1.7
12/3/2010,1.7
12/4/2010,1.7
12/5/2010,1.7
12/6/2010,1.8
12/7/2010,1.8
12/8/2010,1.8
12/9/2010,1.7
12/10/2010,1.9
12/11/2010,1.9
12/12/2010,1.8
12/13/2010,1.9
12/14/2010,1.9
12/15/2010,1.9
12/16/2010,1.9
12/17/2010,1.9
12/18/2010,1.8
12/19/2010,3
12/20/2010,4.9
12/21/2010,3.4
12/22/2010,3.6
12/23/2010,4.1
12/24/2010,3.5
12/25/2010,3.2
12/26/2010,3
12/27/2010,2.9
12/28/2010,2.7
12/29/2010,2.7
12/30/2010,2.5
12/31/2010,2.4
1/1/2011,2.3
